Atlanta Hawks_Chicago Bulls,Pending,Atlanta Hawks,Chicago Bulls
Boston Celtics_Golden State Warriors,Live,Boston Celtics,Golden State Warriors
Brooklyn Nets_Indiana Pacers,Live,Brooklyn Nets,Indiana Pacers
Charlotte Hornets_Philadelphia 76ers,Pending,Charlotte Hornets,Philadelphia 76ers
Chicago Bulls_Dallas Mavericks,Live,Chicago Bulls,Dallas Mavericks
Cleveland Cavaliers_Oklahoma City Thunder,Live,Cleveland Cavaliers,Oklahoma City Thunder
Denver Nuggets_Utah Jazz,Live,Denver Nuggets,Utah Jazz
Detroit Pistons_Los Angeles Lakers,Pending,Detroit Pistons,Los Angeles Lakers
Houston Rockets_Milwaukee Bucks,Pending,Houston Rockets,Milwaukee Bucks
Los Angeles Clippers_Washington Wizards,Live,Los Angeles Clippers,Washington Wizards
Minnesota Timberwolves_Portland Trail Blazers,Pending,Minnesota Timberwolves,Portland Trail Blazers
New Orleans Pelicans_Phoenix Suns,Pending,New Orleans Pelicans,Phoenix Suns
New York Knicks_Sacramento Kings,Pending,New York Knicks,Sacramento Kings
Orlando Magic_Toronto Raptors,Pending,Orlando Magic,Toronto Raptors
Ronan v Samith,,Ronan,Samith
